A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8.739,2.381,18.271,3.175,11.535,1.19,13.544,17.6,45.4,2.381,1.984,31.412,17.478,6.362,5.159,8.739,41.3,1.587,18.271,35.002,7.946,18.361,20.335,24.759,11.931,7.946,3.571,16.742,1.19,1.587,1.19,1.19,22.675,10.744,16.711,19.481,19.5,6.758,10.325,13.94,5.57,3.175,3.968,7.54,20.254,64.7,20.238,202.2,1.19,58.241,13.912,56.228,5.966,26.661,12.327,5.966,1.984,155.9,1.19,40.967,6.362,26.661,10.386,58.101,11.139,163.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21.088,16.671,3.175,22.8,415.9,1.19,7.154,9.532,24.219,5.556,54.7,9.921,12.705,5.952,5.966,4.365,49.206,9.524,33.732,1.587,32.939,9.127,1.984,19.444,35.317,9.127,15.878,10.722,1.19,124.294,12.4,1.19,1.19,22.4,1.19,14.286,4.778,17,5.556,25.821,8.73,35.723,15.079,3.968,14.286,1.19,7.937,9.127,28.993,12.308,10.325,1.587,25.409,1.587,3.968,16.27,19.048,9.524,1.984,9.524,1.984,15.079,69.1,1.19,23.823,14.688,9.929,1.587,6.9,1.19,7.143,1.19,14.683,32.946,32.946,16.27,17.862,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12.454,11.556,11.111,1.587,14.688,19.857,9.532,1.587,20.242,1.587,67.139,27.849,1.984,37.717,23.416,1.587,5.966,1.19,12.705,42.155,53.212,14.688,8.333,3.908,1.775,6.349,8.73,3.175,8.333,1.984,12.698,5.159,2.381,15.878,6.746,1.984,11.905,5.159,2.778,20.65,4.762,1.19,9.524,3.571,1.984,1.984,1.775,1.19,4.908,16.671,9.532,10.722,1.587,22.65,32.937,3.571,25.806,2.381,1.587,12.705,35.46,22.675,44.452,1.19,13.895,1.587,3.571,15.481,13.515,23.426,40.128,35.769,5.174,9.532,3.968,1.19,58.367,1.19,5.159,1.587,19.064,7.54,16.275,35.794,22.254,1.587,1.984,4.762,7.946,2.381,3.571,3.175,10.722,12.705,19.064,3.175,22.633,31.389,12.302,11.508,11.911,32.165,41.8,11.515,2.778,30.182,63.909,2.381,125.487,8.73,79.049,1.587,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,79.5,3.175,89.246,97.271,24.597,1.587,61.849,1.19,10.589,1.19,28.797,1.587,41.247,794.9,3.593,116.762,36.682,205.4,6.399,2.381,19.196,1.19,189.9,2.381,67.293,2.778,50.586,1.587,13.94,2.381,435.7,1.984,25.508,3.968,6.399,7.154,223,1.587,97.768,1.587,72.4,1.587,138.027,3.175,76.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19.085,3.571,3.988,8.333,23.019,16.289,6.746,33.767,3.968,18.271,16.289,6.349,22.254,1.19,1.984,16.289,5.174,3.968,3.571,6.362,1.984,5.174,3.988,3.175,7.54,27.031,19.481,60.844,12.327,13.515,1.984,2.778,4.778,6.758,14.688,4.762,2.381,1.587,48.025,8.343,3.571,7.154,5.556,15.893,13.101,26.7,3.571,3.593,12.705,1.984,15.878,1.19,9.557,13.119,41.819,2.381,11.118,4.365,27.057,2.778,9.161,9.929,4.778,1.984,7.946,13.149,11.118,18.668,4.365,47.7,3.571,45.697,6.746,2.778,1.587,4.778,2.778,7.946,1.984,8.739,22.254,2.381,5.952,6.362,6.349,30.253,3.571,4.365,8.343,1.984,9.929,1.587,8.739,17.082,3.175,7.946,4.762,15.497,3.571,9.532,3.571,13.101,3.175,6.362,8.343,24.258,8.333,1.19,6.362,29.461,3.571,12.723,9.929,25.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
