2671.837127,60.46707,105.370549,25.014573,16.296453,10.322,11.337526,12.797295,39.667446,4.367,40.174812,57.606685,28.728905,10.732101,286.917458,31.76,62.375846,30.172,9.528,16.674,45.4168,3.97,54.552564,5.161,23.029573,24.614,19.056,11.116,45.283408,10.719,148.942093,17.971793,12.158125,19.453,30.569,9.131,95.385205,9.131,42.117333,33.491714,33.821621,61.962569,3.97,5.161,5.955,8.40846,23.037513,3.573,161.509128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2795.949032,124.029152,14.292,47.307314,5.558,508.679673,5.558,294.454503,18.346164,116.010546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3339.752113,167.829765,5.572292,130.052436,5.558,438.572252,3.97,85.090598,5.161,28.200101,9.139734,11.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2997.192986,66.606675,13.917629,607.461213,5.968101,25.457625,4.764,567.561125,4.910493,151.186731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3212.221,66.415718,5.968101,448.728306,11.144187,527.516926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3552.487342,297.11083,4.780674,26.232172,3.98985,523.521121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
