1,15.932801,2.382,866.024137,2.382,53.435406,2.382,1666.852537,4.847767,388.358898,6.654911,9.925,3.97,148.864678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735.969848,21.167246,1.588,10.322,13.921202,13.895,5.955,26.599,12.284768,35.002299,10.329543,7.94,446.22006,7.157116,19.554632,7.543,17.492217,25.532658,3.97,19.269189,38.76705,77.469786,28.295381,14.429362,15.505232,68.66512,10.051246,11.291871,1.985,46.680054,4.367,25.559654,26.331819,8.421561,1.588,15.665223,9.208415,14.489309,7.584685,22.267333,48.471318,10.689622,1.588,6.749,27.137332,4.764,26.071784,6.749,49.99024,7.244456,17.715728,22.193094,32.025593,21.412195,29.891718,5.021653,3.176,17.071,2.382,7.543,30.646018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084.613263,25.805,33.832737,25.805,7.146,19.453,21.441573,34.217033,12.307,1.191,14.694558,1.588,62.421898,149.801201,35.743498,87.878729,23.060142,47.64,12.961653,53.278988,7.543,59.116079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659.286122,1.191,133.939066,6.749,21.657144,20.339898,5.955,5.161,39.718659,9.560951,76.310546,5.955,107.165386,13.498,56.820228,22.411444,37.333086,4.764,11.96955,50.42694,127.125752,18.279071,8.374715,18.663367,43.330962,8.734,42.878382,8.374715,4.367,6.749,30.981086,5.161,104.569403,18.266367,16.075721,14.348374,2.382,5.614374,13.106955,10.322,42.893071,30.579322,37.339835,7.636295,2.779,7.584685,14.292,9.981374,20.714666,7.192449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823.748136,183.11625,13.101,25.805,12.704,54.810614,8.337,189.423786,32.157,1.588,6.352,124.282041,20.644,20.644,6.352,8.734,5.558,135.388513,11.116,58.364558,6.352,62.499313,5.558,147.774516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175.787365,64.894811,5.955,88.802151,10.322,20.247,4.367,26.202,4.764,28.981,6.749,26.599,5.161,54.180178,5.955,5.161,5.161,3.573,5.558,74.578435,6.749,108.739888,6.798625,3.176,10.322,8.734,6.352,91.857463,5.558,61.996314,8.028928,46.846,5.558,110.327094,4.764,102.012723,5.161,98.756529,7.146,1.588,4.764,41.747329,7.543,76.409002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658.700547,140.070334,25.023704,319.662415,5.161,20.659086,20.299404,91.804662,8.337,13.101,21.041,195.486373,7.543,11.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,216.409067,4.367,258.58595,3.97,61.648145,5.572292,64.465654,4.780674,30.69207,5.618741,107.72992,4.764,805.261302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
