2688.395468,818.608045,5.955,249.641143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,
715.378601,8.337,9.528,2.382,5.558,34.977685,4.367,3.97,15.483,4.764,6.352,3.176,19.056,29.378,7.543,20.440339,47.726149,18.736812,4.764,12.439201,5.558,41.880324,5.558,89.459583,5.558,1040.655306,4.367,61.20946,7.146,17.468,4.764,57.965176,5.161,9.528,5.161,79.906969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291.608097,15.086,4.367,21.041,7.146,10.322,5.161,35.021752,15.483,22.232,4.367,5.955,15.933992,17.615287,5.955,14.689,4.764,23.026,7.543,125.477011,5.558,3.97,3.97,16.277,5.161,113.273628,8.337,7.543,5.955,21.202976,8.734,14.689,4.367,507.681218,7.146,69.517876,4.367,46.052,5.558,104.83579,5.161,106.036715,4.367,238.670445,5.161,20.644,5.161,126.694213,5.558,4.764,11.513,21.511445,5.955,150.162074,3.97,49.310179,7.543,177.127108,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,
1488.446776,10.794033,4.43846,194.580022,5.558,5.558,4.367,62.792299,6.364307,38.267227,5.558,156.618088,4.764,17.113876,9.536337,261.193049,13.917629,5.558,3.573,3.97,6.352,32.594891,4.367,48.054071,4.367,417.428032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846.377609,346.026391,9.131,33.413902,3.97,19.948456,7.146,423.022159,6.749,171.487723,6.352,218.017314,5.558,21.041,6.352,117.457611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974.791626,624.640594,4.367,717.412745,7.146,114.008872,20.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
